"MatchURL","League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Href","Player_Num","Nation","First_pos_fbref","Other_pos_fbref","Age","Min","Competition_Name","Gender","Country","Tier","Season_End_Year","ws_rating","ws_position","outcome"
"https://fbref.com/en/matches/e62f6e78/Crystal-Palace-Arsenal-August-5-2022-Premier-League","Premier League","05/08/2022","Premier League (Matchweek 1)","crystal palace","4-2-3-1",0,1.2,"",1,0,"arsenal","04/03/2003",2,1,"Gabriel Martinelli · 20&rsquor; Marc Guéhi (OG) · 85&rsquor;",2,0,"https://fbref.com/en/matches/e62f6e78/Crystal-Palace-Arsenal-August-5-2022-Premier-League","crystal palace","Home","tyrick mitchell","/en/players/5cbd1eb0/Tyrick-Mitchell",3,"ENG","LB",NA,"22-338",90,"Premier League","M","ENG","1st",2023,6.26,"DL","loss"
"https://fbref.com/en/matches/e62f6e78/Crystal-Palace-Arsenal-August-5-2022-Premier-League","Premier League","05/08/2022","Premier League (Matchweek 1)","crystal palace","4-2-3-1",0,1.2,"",1,0,"arsenal","04/03/2003",2,1,"Gabriel Martinelli · 20&rsquor; Marc Guéhi (OG) · 85&rsquor;",2,0,"https://fbref.com/en/matches/e62f6e78/Crystal-Palace-Arsenal-August-5-2022-Premier-League","crystal palace","Home","marc guehi","/en/players/d0706b27/Marc-Guehi",6,"ENG","CB",NA,"22-023",90,"Premier League","M","ENG","1st",2023,5.49,"DC","loss"
"https://fbref.com/en/matches/e62f6e78/Crystal-Palace-Arsenal-August-5-2022-Premier-League","Premier League","05/08/2022","Premier League (Matchweek 1)","crystal palace","4-2-3-1",0,1.2,"",1,0,"arsenal","04/03/2003",2,1,"Gabriel Martinelli · 20&rsquor; Marc Guéhi (OG) · 85&rsquor;",2,0,"https://fbref.com/en/matches/e62f6e78/Crystal-Palace-Arsenal-August-5-2022-Premier-League","crystal palace","Home","joachim andersen","/en/players/e34fc66d/Joachim-Andersen",16,"DEN","CB",NA,"26-066",90,"Premier League","M","ENG","1st",2023,7.62,"DC","loss"
"https://fbref.com/en/matches/e62f6e78/Crystal-Palace-Arsenal-August-5-2022-Premier-League","Premier League","05/08/2022","Premier League (Matchweek 1)","crystal palace","4-2-3-1",0,1.2,"",1,0,"arsenal","04/03/2003",2,1,"Gabriel Martinelli · 20&rsquor; Marc Guéhi (OG) · 85&rsquor;",2,0,"https://fbref.com/en/matches/e62f6e78/Crystal-Palace-Arsenal-August-5-2022-Premier-League","crystal palace","Home","nathaniel clyne","/en/players/0442183b/Nathaniel-Clyne",17,"ENG","RB",NA,"31-122",90,"Premier League","M","ENG","1st",2023,6.15,"DR","loss"
"https://fbref.com/en/matches/e62f6e78/Crystal-Palace-Arsenal-August-5-2022-Premier-League","Premier League","05/08/2022","Premier League (Matchweek 1)","crystal palace","4-2-3-1",0,1.2,"",1,0,"arsenal","04/03/2003",2,1,"Gabriel Martinelli · 20&rsquor; Marc Guéhi (OG) · 85&rsquor;",2,0,"https://fbref.com/en/matches/e62f6e78/Crystal-Palace-Arsenal-August-5-2022-Premier-League","crystal palace","Home","vicente guaita","/en/players/ab13a5aa/Vicente-Guaita",13,"ESP","GK",NA,"35-207",90,"Premier League","M","ENG","1st",2023,6.2,"GK","loss"
"https://fbref.com/en/matches/e62f6e78/Crystal-Palace-Arsenal-August-5-2022-Premier-League","Premier League","05/08/2022","Premier League (Matchweek 1)","crystal palace","4-2-3-1",0,1.2,"",1,0,"arsenal","04/03/2003",2,1,"Gabriel Martinelli · 20&rsquor; Marc Guéhi (OG) · 85&rsquor;",2,0,"https://fbref.com/en/matches/e62f6e78/Crystal-Palace-Arsenal-August-5-2022-Premier-League","arsenal","Away","gabriel jesus","/en/players/b66315ae/Gabriel-Jesus",9,"BRA","FW",NA,"25-124",82,"Premier League","M","ENG","1st",2023,7.22,"FW","win"
"https://fbref.com/en/matches/e62f6e78/Crystal-Palace-Arsenal-August-5-2022-Premier-League","Premier League","05/08/2022","Premier League (Matchweek 1)","crystal palace","4-2-3-1",0,1.2,"",1,0,"arsenal","04/03/2003",2,1,"Gabriel Martinelli · 20&rsquor; Marc Guéhi (OG) · 85&rsquor;",2,0,"https://fbref.com/en/matches/e62f6e78/Crystal-Palace-Arsenal-August-5-2022-Premier-League","arsenal","Away","eddie nketiah","/en/players/a53649b7/Eddie-Nketiah",14,"ENG","FW",NA,"23-067",8,"Premier League","M","ENG","1st",2023,6.35,"Sub","win"
"https://fbref.com/en/matches/e62f6e78/Crystal-Palace-Arsenal-August-5-2022-Premier-League","Premier League","05/08/2022","Premier League (Matchweek 1)","crystal palace","4-2-3-1",0,1.2,"",1,0,"arsenal","04/03/2003",2,1,"Gabriel Martinelli · 20&rsquor; Marc Guéhi (OG) · 85&rsquor;",2,0,"https://fbref.com/en/matches/e62f6e78/Crystal-Palace-Arsenal-August-5-2022-Premier-League","arsenal","Away","gabriel martinelli","/en/players/48a5a5d6/Gabriel-Martinelli",11,"BRA","LW",NA,"21-048",90,"Premier League","M","ENG","1st",2023,7.67,"FWL","win"
"https://fbref.com/en/matches/e62f6e78/Crystal-Palace-Arsenal-August-5-2022-Premier-League","Premier League","05/08/2022","Premier League (Matchweek 1)","crystal palace","4-2-3-1",0,1.2,"",1,0,"arsenal","04/03/2003",2,1,"Gabriel Martinelli · 20&rsquor; Marc Guéhi (OG) · 85&rsquor;",2,0,"https://fbref.com/en/matches/e62f6e78/Crystal-Palace-Arsenal-August-5-2022-Premier-League","arsenal","Away","bukayo saka","/en/players/bc7dc64d/Bukayo-Saka",7,"ENG","RW",NA,"20-334",90,"Premier League","M","ENG","1st",2023,6.65,"FWR","win"
"https://fbref.com/en/matches/e62f6e78/Crystal-Palace-Arsenal-August-5-2022-Premier-League","Premier League","05/08/2022","Premier League (Matchweek 1)","crystal palace","4-2-3-1",0,1.2,"",1,0,"arsenal","04/03/2003",2,1,"Gabriel Martinelli · 20&rsquor; Marc Guéhi (OG) · 85&rsquor;",2,0,"https://fbref.com/en/matches/e62f6e78/Crystal-Palace-Arsenal-August-5-2022-Premier-League","arsenal","Away","granit xhaka","/en/players/e61b8aee/Granit-Xhaka",34,"SUI","LM",NA,"29-312",90,"Premier League","M","ENG","1st",2023,7.36,"MC","win"
